title,company,salary,location,link,platform
"Principal Software Engineer, Architecture",DigitalOcean,226000.0,"Remote in Boston, MA",https://www.indeed.com/rc/clk?jk=29379807dc3e34c8&bb=90Xy6292j0yiVXA_5l_j7EgyvKP2afxKZWFV6fYFAbxEPXAdnFopjEI7v1nuw_i5nkeBwcewVACqWB8gKDpAVoPkalVNW3BZL5-AiGXk4bTUt6cgwJWPffWR6Acd9ht-&xkcb=SoAq67M34Yx-oAAVcT0LbzkdCdPP&fccid=61a3c30968b3442a&vjs=3,I
Principal Software Engineer - Front End,Veeva Systems,225000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-front-end-veeva-systems-JV_IC1154532_KO0,37_KE38,51.htm?jl=1007768406143",G
Principal Software Engineer - Java,Veeva Systems,225000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=462e9295d1a1b1d5&bb=KAtwAgwAOcCkjfFTrzu3lADwGyGZuHpTg3wgpeq4dOzg0R5X20xQCKg4Q3aV-M2t6qYHAVEkAynmI2_TRTaKPfL7G7U46jnEesKH80-Y1vbgXbsS8ZzmDFREikumGcK0&xkcb=SoB667M34YxpHf2oJh0CbzkdCdPP&fccid=353eb997fc901045&vjs=3,I
Principal Software Engineer - Search - Lucene,Veeva Systems,225000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-search-lucene-veeva-systems-JV_IC1154532_KO0,41_KE42,55.htm?jl=1009442561890",G
Principal Software Engineer,"Red Hat, Inc.",216530.0,"Boston, MA 02210 (South Boston area)",https://www.indeed.com/rc/clk?jk=456377a45ff987f9&bb=-RIRgFqqQ7EZgDtqls63wJpb_aNlVvwl-EExkIFGE1SHqt0GRJb6bc-fqUz9PV8rUjyo2_RGMCtj_IumJSwe9-sihOhdBUEVot7uxL9L5aLXwvNGEwD1Mw%3D%3D&xkcb=SoDq67M34YxnfV20Dp0KbzkdCdPP&fccid=e24a60f01d1882d1&vjs=3,I
"Principal Software Engineering, AI Model Serving","Red Hat, Inc.",216500.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineering-ai-model-serving-red-hat-inc-JV_IC1154532_KO0,47_KE48,59.htm?jl=1009551789021",G
Principal Software Engineer,"Red Hat, Inc.",216500.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-red-hat-inc-JV_IC1154532_KO0,27_KE28,39.htm?jl=1009553304721",G
Principal Software Development Engineer,CVS Health,216300.0,"Remote in Boston, MA 02201",https://www.indeed.com/rc/clk?jk=0c894ad99b47a917&bb=cVmIbAh9aDFiVsumM5QPrEqI9-bw6woNXwoJFhsSGdLVL4xCD93IE-p98bIKm2q04OKFMWCiwRP2QyVEoipV4J4vUI1qR-KyG_cQQOz9WA-omTv87Pi4gw%3D%3D&xkcb=SoCr67M34Yxn5f2TVZ0FbzkdCdPP&fccid=be3b11aa573faee7&vjs=3,I
Principal Software Development Engineer,CVS Health,216000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-development-engineer-cvs-health-JV_IC1154532_KO0,39_KE40,50.htm?jl=1009336763818",G
Principal Software Engineer,Microsoft,216000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-microsoft-JV_IC1154532_KO0,27_KE28,37.htm?jl=1009556360074",G
Principal Software Engineer,Microsoft,215800.0,"Boston, MA 02199 (Back Bay area)",https://www.indeed.com/rc/clk?jk=28be616096891f0c&bb=rAEyMR9MhIG7d9bmxzBqEqOEXqyon0Vjo9jFDhabW_NZr0wvyXsDPVXAA_fdYAxHiSzak3DtLF_BnFUJRDzv_Tnuro7AgtLDnvHYgHrEQIX6fx_7CVn6rg%3D%3D&xkcb=SoAW67M34YxqVMyTwx0ObzkdCdPP&fccid=734cb5a01ee60f80&vjs=3,I
Python Engineer (Top Secret Clearance),Better Talent Advisors,215000.0,"Boston, MA","https://www.glassdoor.com/job-listing/python-engineer-top-secret-clearance-better-talent-advisors-JV_IC1154532_KO0,36_KE37,59.htm?jl=1008825953276",G
"Software Engineering Manager, Infrastructure",Meta,214000.0,"Boston, MA 02142 (East Cambridge area)",https://www.indeed.com/rc/clk?jk=6a6fb2e16285f40a&bb=OeUUNhz64zxJYMhMJfd_gl3EtiH6ZoduRA68SBoEHJBFYZWQeLbkhMlT8SxtaWjmegJBK1c4amRP6l6xf-tE0tZ3qNBjdpLVv5dIHoNnFyCumUnYnRXRfw%3D%3D&xkcb=SoBe67M34YxlpNy4SZ0JbzkdCdPP&fccid=ba07516c418dda52&vjs=3,I
"Software Engineering Manager, Infrastructure",Meta,214000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-infrastructure-meta-JV_IC1154532_KO0,43_KE44,48.htm?jl=1008882787219",G
Software Engineer - Perception,Zoox,212500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-perception-zoox-JV_IC1154532_KO0,28_KE29,33.htm?jl=1009338918024",G
"Senior Software Engineer, Observability",Roku,211500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-observability-roku-JV_IC1154532_KO0,38_KE39,43.htm?jl=1009400989774",G
"Senior Software Engineer, Observability",Roku,211500.0,"Boston, MA 02109 (Downtown area)",https://www.indeed.com/rc/clk?jk=e86015713110f780&bb=B0RR0Bo30lmrSQ9lXWMH8liEtMU-dn8ARNl8b8h8WpVPQUQ2EfG6CFkjjPWxdbODotv_ejjNY2Fv_tKAu0iIo-eYlOu0yLisiySMblWr3okwNAS3oAXkkGJ_ZSpTEo9b&xkcb=SoDX67M34Yx_YqWoJh0IbzkdCdPP&fccid=f7f27aafffbc37a6&vjs=3,I
Senior Software Engineer - Vehicle Management System,Anduril Industries,210000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-vehicle-management-system-anduril-industries-JV_IC1154532_KO0,50_KE51,69.htm?jl=1009309324591",G
Senior Frontend Software Engineer,Anduril Industries,210000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=4c1602a14f8609fe&bb=OeUUNhz64zxJYMhMJfd_gu7CSX4moRQ3YoADTL8V5WF7F2vNXGGgIWghfehE3wftfCG1mhHnTiZsSfWdtOwGdOnhyD-wfd9FEMpMZxjo8ibaJ8bl-WlW1T3ngj87Mzbm&xkcb=SoBk67M34YxlpNy4SZ0PbzkdCdPP&fccid=3f7b0eacc8de6549&vjs=3,I
Senior Software Engineer - Real Time Systems,Anduril Industries,210000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=4a6e84c6642256a4&bb=3IMiwhj0uu0eVZF2KWEHXkHqhg2FjX8sO8cWPzWaFJRcK3dW4JT_0pDKBEije25To9oFLQ-NgFW6hZ9QmTHc1byTXmgVYZBeeUPppPiQaHI2CxPN26E_OcHWCDtnP3GO&xkcb=SoAS67M34Yx9s2S4SZ0DbzkdCdPP&fccid=3f7b0eacc8de6549&vjs=3,I
Senior Software Engineer - Platform,Anduril Industries,210000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-platform-anduril-industries-JV_IC1154532_KO0,33_KE34,52.htm?jl=1009551656788",G
"Senior Mission Software Engineer, Maritime",Anduril Industries,210000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-mission-software-engineer-maritime-anduril-industries-JV_IC1154532_KO0,41_KE42,60.htm?jl=1009309324583",G
Senior Software Engineer,Anduril Industries,210000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-anduril-industries-JV_IC1154532_KO0,24_KE25,43.htm?jl=1009551657033",G
"Senior Software Engineer, Maneuver Dominance",Anduril Industries,210000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-maneuver-dominance-anduril-industries-JV_IC1154532_KO0,43_KE44,62.htm?jl=1009551657023",G
Senior / Principal Gameplay Engineer,CD PROJEKT RED,209500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-principal-gameplay-engineer-cd-projekt-red-JV_IC1154532_KO0,34_KE35,49.htm?jl=1009346897016",G
.Principal Software Engineer - AI Engineering,Context Labs,209000.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-ai-engineering-context-labs-JV_IC1154545_KO0,42_KE43,55.htm?jl=1009300545954",G
Full Stack Engineer,Fidelity TalentSource,208000.0,"Boston, MA","https://www.glassdoor.com/job-listing/full-stack-engineer-fidelity-talentsource-JV_IC1154532_KO0,19_KE20,41.htm?jl=1009534038718",G
"Staff Software Engineer, Embedded Applications (R2655)",SHIELD AI,208000.0,"Boston, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-embedded-applications-r2655-shield-ai-JV_IC1154532_KO0,51_KE52,61.htm?jl=1009150893333",G
"Staff Software Engineer, Embedded Firmware (R2524)",SHIELD AI,208000.0,"Boston, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-embedded-firmware-r2524-shield-ai-JV_IC1154532_KO0,47_KE48,57.htm?jl=1009554584129",G
"Technical Lead I, Front End - Fintech",HubSpot,206900.0,"Remote in Cambridge, MA",https://www.indeed.com/rc/clk?jk=e3284e3c8d6832b1&bb=nYnq3tcuoD6RbMzC9gLGffrThgw9CaJLCJ0EbYU2hKDq4bVGiLpTkND_Qg1fYqZl6ifuKLF-_CHFjL8uI9LaYO4dE3vbA7PeqsdfByRtjjRX9k-2VKuQDvZl-TmlD1Ma&xkcb=SoBN67M34YxsKkATC70BbzkdCdPP&fccid=21bb811abc2058c6&vjs=3,I
"Senior Software Engineer - AI, Artificial General Intelligence | Inference Engines",Amazon.com Services LLC,206500.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-ai-artificial-general-intelligence-inference-engines-amazon-com-services-llc-JV_IC1154532_KO0,77_KE78,101.htm?jl=1009510741947",G
"Staff Software Engineer, Frontend",Suno,205000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=1b3f2f6870bd0285&bb=sKyYXr9FtovrtM80mjdUxV6bRTSpCLMdLIdIVgKQ1VmIlkj9gn-vhltWG6Lgp_VPu_r1KAo3meTMgaM1nPYFbG98Nq6IXGzbSNGnoRZE8Ihf43HYMGRrlRdV1nrzRDYu&xkcb=SoCp67M34Yxrrc20Dp0KbzkdCdPP&fccid=a166cd977763c895&vjs=3,I
Staff Software Engineer - Operations Execution,Crunchtime,205000.0,"Boston, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-operations-execution-crunchtime-JV_IC1154532_KO0,44_KE45,55.htm?jl=1009486841632",G
Head of Product Software,Pison Technology,202500.0,"Boston, MA","https://www.glassdoor.com/job-listing/head-of-product-software-pison-technology-JV_IC1154532_KO0,24_KE25,41.htm?jl=1009274797919",G
"AIML - Machine Learning Engineer, Siri and Information Intelligence",Apple,201500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/aiml-machine-learning-engineer-siri-and-information-intelligence-apple-JV_IC1154545_KO0,64_KE65,70.htm?jl=1009521917844",G
Global IT Software Engineer Senior Manager - GenAI,Boston Consulting Group,201500.0,"Boston, MA","https://www.glassdoor.com/job-listing/global-it-software-engineer-senior-manager-genai-boston-consulting-group-JV_IC1154532_KO0,48_KE49,72.htm?jl=1009526962799",G
"Staff Software Engineer, Platform","Vivint, Inc.",199500.0,"Boston, MA","https://www.glassdoor.com/job-listing/staff-software-engineer-platform-vivint-inc-JV_IC1154532_KO0,32_KE33,43.htm?jl=1009543418016",G
