title,company,salary,location,link,platform
Lead Software Engineer - SRE,Klaviyo,235000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=33a2b9c933a698d3&bb=bxlXyDvaoj9tbuMlRd-qy-ll-OG8MajgrYZQRAS6y_9Mmx2Jk4emqo7Om1vC9Vb2BTCgW1-YU7zKhJ_ppRhpmOqr1dVXnEamkj1ukaRe1bbIA1o-Isl3qX5kbRvKts8g&xkcb=SoBH67M34ZLdNvQHyB0AbzkdCdPP&fccid=398c4fa163ac001f&vjs=3,I
Lead Data Engineer - Data Automations,Klaviyo,235000.0,"Boston, MA","https://www.glassdoor.com/job-listing/lead-data-engineer-data-automations-klaviyo-JV_IC1154532_KO0,35_KE36,43.htm?jl=1009505355897",G
Lead Software Engineer - SRE,Klaviyo,235000.0,"Boston, MA","https://www.glassdoor.com/job-listing/lead-software-engineer-sre-klaviyo-JV_IC1154532_KO0,26_KE27,34.htm?jl=1009520854017",G
Lead Data Engineer - Data Automations,Klaviyo,235000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=2214948fe1ca5adc&bb=SbgwLHXAmMHAj9__04owxmmU48tpH8faCYbnzMcE6NxwLfHgcjmPw4l6uMBMkhR9sY7wQupkxIQeDekf3NPFJRN3tXDl9SN98R2jH3SNn4iZOK4CHUZhH9Ul84S-0nZp&xkcb=SoCI67M34ZLajZW0Dp0FbzkdCdPP&fccid=398c4fa163ac001f&vjs=3,I
Lead Software Engineer - Events,Klaviyo,235000.0,"Boston, MA","https://www.glassdoor.com/job-listing/lead-software-engineer-events-klaviyo-JV_IC1154532_KO0,29_KE30,37.htm?jl=1009538025057",G
Software Engineering Manager,Klaviyo,235000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-klaviyo-JV_IC1154532_KO0,28_KE29,36.htm?jl=1009373135596",G
"State Estimation Engineer, Sensor Fusion (R2682)",SHIELD AI,228000.0,"Boston, MA","https://www.glassdoor.com/job-listing/state-estimation-engineer-sensor-fusion-r2682-shield-ai-JV_IC1154532_KO0,45_KE46,55.htm?jl=1009320816446",G
Principal Software Engineer - Front End,Veeva Systems,225000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=7236766f4cce4e3d&bb=JMCbaj41Dxm1Td3ZeqXj2AcK5xFNYFSdzvbMlqBQ-Mmu-J8rdAfV8pvnki6GgDKiUF3dYwgZuCaxjY85IryD3dAIJmsrSbENEaByyjfgW036Xr9HbwTTiz4Uj40rTfe-&xkcb=SoA567M34ZLEU-2TVZ0GbzkdCdPP&fccid=353eb997fc901045&vjs=3,I
Principal Software Engineer - Full Stack,Veeva Systems,225000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-full-stack-veeva-systems-JV_IC1154532_KO0,38_KE39,52.htm?jl=1009567963468",G
Principal Software Engineer - Java,Veeva Systems,225000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-java-veeva-systems-JV_IC1154532_KO0,32_KE33,46.htm?jl=1009567962750",G
Principal Software Engineer - Java,Veeva Systems,225000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=462e9295d1a1b1d5&bb=zUzYLnKNWWG1L_OG8yoqCRHRG6NqVui891ko8b9DxP5DJdVFR_RIix8Mej8VjyU9Qsje9ZGttVA8zuTB--MLApe2sraYDdro9q18MsHvX-v65qi0Ckan521FVlwu3adE&xkcb=SoBf67M34ZLBcu2TSR0IbzkdCdPP&fccid=353eb997fc901045&vjs=3,I
Principal Software Engineer,"Red Hat, Inc.",216500.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-red-hat-inc-JV_IC1154532_KO0,27_KE28,39.htm?jl=1009565224195",G
Principal Software Engineer (Full Stack),"Red Hat, Inc.",216500.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-full-stack-red-hat-inc-JV_IC1154532_KO0,38_KE39,50.htm?jl=1009570778345",G
Principal Software Development Engineer,CVS Health,216300.0,"Remote in Boston, MA 02201",https://www.indeed.com/rc/clk?jk=0c894ad99b47a917&bb=FZ1n4Vuvd0wrnv9ZDZPMbU1TlNA8XEs_wVrOoSCUEZSxaeBd9r6-OzBuOF1oXIypf7uTceNxB0bMndfLXyuS9He9Re2ofXrpRPSOm2RQafYltTvuUqvBEg%3D%3D&xkcb=SoC667M34ZLCbIWTSR0JbzkdCdPP&fccid=be3b11aa573faee7&vjs=3,I
Principal Software Engineer,Microsoft,216000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-microsoft-JV_IC1154532_KO0,27_KE28,37.htm?jl=1009556360074",G
Principal Software Development Engineer,CVS Health,216000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-development-engineer-cvs-health-JV_IC1154532_KO0,39_KE40,50.htm?jl=1009336763818",G
Principal Software Engineer,Microsoft,215800.0,"Boston, MA 02199 (Back Bay area)",https://www.indeed.com/rc/clk?jk=28be616096891f0c&bb=ZhQzrWy1p3vU0b3WX5wTBvt_po58Qd05U9HnIvi8RPhxz4pPnuZE6-Eb0JnxFm0UYiiUe_UqWlZh20O_kp8liRqNoiVE6ml3z4q0SqCzFrjEg1wiFIhLzQ%3D%3D&xkcb=SoB467M34ZLDv1wHyB0CbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3,I
Python Engineer (Top Secret Clearance),Better Talent Advisors,215000.0,"Boston, MA","https://www.glassdoor.com/job-listing/python-engineer-top-secret-clearance-better-talent-advisors-JV_IC1154532_KO0,36_KE37,59.htm?jl=1008825953276",G
Python Engineer (Top Secret Clearance),Better Talent Advisors,215000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=4f99d1b2a130714e&bb=SbgwLHXAmMHAj9__04owxhtJWsGC69PK21AQYMlMXtR3Bv9JG8abd1aV9fo1tT57vDKQ_3RY71NpXNjkjrILEbfQ9Gl6XXwbk5choNg1nBSmmHNst3IGDhXJ5PQcoI0C&xkcb=SoCh67M34ZLajZW0Dp0HbzkdCdPP&fccid=a9ac37d9721dd9ff&vjs=3,I
"Software Engineering Manager, Infrastructure",Meta,214000.0,"Boston, MA 02142 (East Cambridge area)",https://www.indeed.com/rc/clk?jk=6a6fb2e16285f40a&bb=l8sZ-hMTjvcfLA-1t-Qpex_pJ_ate9-0JbgZ5AU2Yk3pSOfVWlwplD15jUu368lVTr13KuxSbA3qomDV64aw8YBSPbqxTObyxj8cgKTcrIOAB3tDSQz8Bg%3D%3D&xkcb=SoC967M34ZLf38gTC70abzkdCdPP&fccid=ba07516c418dda52&vjs=3,I
"Software Engineering Manager, Infrastructure",Meta,214000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-infrastructure-meta-JV_IC1154532_KO0,43_KE44,48.htm?jl=1008882787168",G
